"participant","gender","age","years_married","children","religious","education","occupation","marriage_rating","number_of_affairs"
"1",1,"male",37,10,"no",3,18,7,"happy",0
"2",2,"female",27,4,"no",4,14,6,"happy",0
"3",3,"female",32,15,"yes",1,12,1,"happy",0
"4",4,"male",57,15,"yes",5,18,6,"very happy",0
"5",5,"male",22,0.75,"no",2,17,6,"neutral",0
"6",6,"female",32,1.5,"no",2,17,5,"very happy",0
"7",7,"female",22,0.75,"no",2,12,1,"neutral",0
"8",8,"male",57,15,"yes",2,14,4,"happy",0
"9",9,"female",32,15,"yes",4,16,1,"unhappy",0
"10",10,"male",22,1.5,"no",4,14,4,"very happy",0
"11",11,"male",37,15,"yes",2,20,7,"unhappy",0
"12",12,"male",27,4,"yes",4,18,6,"happy",0
"13",13,"male",47,15,"yes",5,17,6,"happy",0
"14",14,"female",22,1.5,"no",2,17,5,"happy",0
"15",15,"female",27,4,"no",4,14,5,"happy",0
"16",16,"female",37,15,"yes",1,17,5,"very happy",0
"17",17,"female",37,15,"yes",2,18,4,"neutral",0
"18",18,"female",22,0.75,"no",3,16,5,"happy",0
"19",19,"female",22,1.5,"no",2,16,5,"very happy",0
"20",20,"female",27,10,"yes",2,14,1,"very happy",0
"21",21,"female",22,1.5,"no",2,16,5,"very happy",0
"22",22,"female",22,1.5,"no",2,16,5,"very happy",0
"23",23,"female",27,10,"yes",4,16,5,"happy",0
"24",24,"female",32,10,"yes",3,14,1,"very happy",0
"25",25,"male",37,4,"yes",2,20,6,"happy",0
"26",26,"female",22,1.5,"no",2,18,5,"very happy",0
"27",27,"female",27,7,"no",4,16,1,"very happy",0
"28",28,"male",42,15,"yes",5,20,6,"happy",0
"29",29,"male",27,4,"yes",3,16,5,"very happy",0
"30",30,"female",27,4,"yes",3,17,5,"happy",0
"31",31,"male",42,15,"yes",4,20,6,"neutral",0
"32",32,"female",22,1.5,"no",3,16,5,"very happy",0
"33",33,"male",27,0.417,"no",4,17,6,"happy",0
"34",34,"female",42,15,"yes",5,14,5,"happy",0
"35",35,"male",32,4,"yes",1,18,6,"happy",0
"36",36,"female",22,1.5,"no",4,16,5,"neutral",0
"37",37,"female",42,15,"yes",3,12,1,"happy",0
"38",38,"female",22,4,"no",4,17,5,"very happy",0
"39",39,"male",22,1.5,"yes",1,14,3,"very happy",0
"40",40,"female",22,0.75,"no",3,16,1,"very happy",0
"41",41,"male",32,10,"yes",5,20,6,"very happy",0
"42",42,"male",52,15,"yes",5,18,6,"neutral",0
"43",43,"female",22,0.417,"no",5,14,1,"happy",0
"44",44,"female",27,4,"yes",2,18,6,"very unhappy",0
"45",45,"female",32,7,"yes",5,17,5,"neutral",0
"46",46,"male",22,4,"no",3,16,5,"very happy",0
"47",47,"female",27,7,"yes",4,18,6,"very happy",0
"48",48,"female",42,15,"yes",2,18,5,"happy",0
"49",49,"male",27,1.5,"yes",4,16,3,"very happy",0
"50",50,"male",42,15,"yes",2,20,6,"happy",0
"51",51,"female",22,0.75,"no",5,14,3,"very happy",0
"52",52,"male",32,7,"yes",2,20,6,"happy",0
"53",53,"male",27,4,"yes",5,20,6,"very happy",0
"54",54,"male",27,10,"yes",4,20,6,"happy",0
"55",55,"male",22,4,"no",1,18,5,"very happy",0
"56",56,"female",37,15,"yes",4,14,3,"very unhappy",0
"57",57,"male",22,1.5,"yes",5,16,4,"happy",0
"58",58,"female",37,15,"yes",4,17,1,"very happy",0
"59",59,"female",27,0.75,"no",4,17,5,"happy",0
"60",60,"male",32,10,"yes",4,20,6,"happy",0
"61",61,"female",47,15,"yes",5,14,7,"unhappy",0
"62",62,"male",37,10,"yes",3,20,6,"happy",0
"63",63,"female",22,0.75,"no",2,16,5,"very happy",0
